001.png,002.png,003.png,004.png,005.png,006.png,007.png,008.png,009.png,010.png,011.png,012.png,013.png,014.png,015.png,016.png,017.png,018.png,019.png,020.png,021.png,022.png,023.png,024.png,025.png,026.png,027.png,028.png,029.png,030.png,031.png,032.png,033.png,034.png,035.png,036.png,037.png,038.png,039.png,040.png,041.png,042.png,043.png,044.png,045.png,046.png,047.png,048.png,049.png,050.png,051.png,052.png,053.png,054.png,055.png,056.png,057.png,058.png,059.png,060.png,061.png,062.png,063.png,064.png,065.png,066.png,067.png,068.png,069.png,070.png,071.png,072.png,073.png,074.png,075.png,076.png,077.png,078.png,079.png,080.png,081.png,082.png,083.png
84.7373275756836,84.84341430664062,84.57649993896484,92.48444366455078,84.8185806274414,81.73804473876953,91.37246704101562,92.43549346923828,78.96482849121094,78.9799575805664,92.64197540283203,89.61320495605469,95.92469024658203,86.32955932617188,84.9978256225586,84.83063507080078,93.12264251708984,78.99919128417969,90.72526550292969,79.07232666015625,84.68502044677734,84.62450408935547,84.50131225585938,92.28890228271484,91.36666107177734,92.50494384765625,84.73148345947266,84.65099334716797,78.96940612792969,78.98974609375,86.33045196533203,83.9443130493164,87.51568603515625,87.9333267211914,93.52104187011719,85.69712829589844,92.56920623779297,94.6300277709961,85.00083923339844,86.95438385009766,84.60055541992188,93.2975082397461,89.90420532226562,87.87885284423828,84.00173950195312,87.24537658691406,83.27545166015625,87.97647857666016,90.52423858642578,86.76522827148438,84.67103576660156,85.31288146972656,92.0332260131836,92.2581558227539,76.63353729248047,92.59908294677734,92.37260437011719,90.95446014404297,96.10335540771484,86.50901794433594,92.62908935546875,93.31832885742188,92.24752807617188,95.56639099121094,93.2975082397461,92.01107025146484,92.46687316894531,83.81312561035156,92.51097869873047,95.39321899414062,95.91535949707031,78.89097595214844,89.21012115478516,93.6484603881836,90.59249877929688,84.7905502319336,92.31369018554688,88.36437225341797,93.08029174804688,98.41869354248047,83.76261901855469,89.23353576660156,98.40843963623047
50.2cm,109.80000000000001cm,66.60000000000001cm,55.900000000000006cm,47.800000000000004cm,49.0cm,48.900000000000006cm,63.900000000000006cm,48.800000000000004cm,48.6cm,50.2cm,111.60000000000001cm,101.0cm,47.400000000000006cm,37.2cm,39.0cm,33.4cm,49.300000000000004cm,85.10000000000001cm,57.800000000000004cm,69.60000000000001cm,71.60000000000001cm,52.6cm,58.5cm,48.0cm,49.900000000000006cm,47.2cm,48.7cm,56.2cm,50.6cm,73.60000000000001cm,73.4cm,58.6cm,136.3cm,214.0cm,257.6cm,119.7cm,55.0cm,48.1cm,77.2cm,45.900000000000006cm,64.10000000000001cm,38.900000000000006cm,96.5cm,75.4cm,100.5cm,81.30000000000001cm,72.0cm,31.700000000000003cm,62.400000000000006cm,48.0cm,51.900000000000006cm,48.6cm,51.2cm,56.2cm,33.7cm,50.900000000000006cm,44.1cm,49.2cm,70.7cm,62.2cm,52.800000000000004cm,65.60000000000001cm,64.7cm,64.10000000000001cm,87.2cm,63.300000000000004cm,147.4cm,55.400000000000006cm,44.5cm,88.30000000000001cm,42.7cm,50.800000000000004cm,72.3cm,99.0cm,72.4cm,71.3cm,65.8cm,60.900000000000006cm,60.5cm,111.5cm,53.800000000000004cm,51.7cm
1831.0cm^2,4999.0cm^2,2429.0cm^2,2017.0cm^2,1741.0cm^2,1731.0cm^2,1416.0cm^2,2562.0cm^2,2031.0cm^2,1953.0cm^2,1370.0cm^2,5668.0cm^2,4586.0cm^2,1389.0cm^2,989.0cm^2,1386.0cm^2,1288.0cm^2,1898.0cm^2,3699.0cm^2,1919.0cm^2,3500.0cm^2,4351.0cm^2,5552.0cm^2,3517.0cm^2,1486.0cm^2,1728.0cm^2,2096.0cm^2,2712.0cm^2,2314.0cm^2,1989.0cm^2,3183.0cm^2,2321.0cm^2,1551.0cm^2,3971.0cm^2,9552.0cm^2,7778.0cm^2,3731.0cm^2,1572.0cm^2,1273.0cm^2,2330.9803921568628cm^2,3040.0cm^2,2278.0cm^2,987.0cm^2,2089.0cm^2,1692.0cm^2,2886.0cm^2,1766.0cm^2,1839.0cm^2,540.0cm^2,1612.0cm^2,2514.0cm^2,1541.0cm^2,1416.0cm^2,3438.325490196078cm^2,2481.0cm^2,985.0cm^2,1363.0cm^2,1151.0cm^2,1121.0cm^2,2684.0cm^2,1732.0cm^2,1334.0cm^2,1791.0cm^2,1990.0cm^2,2278.0cm^2,2818.0cm^2,2369.0cm^2,4987.0cm^2,1896.0cm^2,1321.0cm^2,4018.0cm^2,2152.0cm^2,2069.0cm^2,2326.0cm^2,3260.0cm^2,2799.0cm^2,3953.0cm^2,2160.0cm^2,1523.0cm^2,2642.0cm^2,2920.0cm^2,1676.0cm^2,2215.0cm^2
38.19218167287362cm,45.43714464829369cm,31.3555907528802cm,51.09157911568867cm,56.51952829426113cm,34.842591052012466cm,37.54528994990979cm,61.49687487913316cm,57.87344729549067cm,53.88684519607621cm,43.72922228281849cm,45.75662235057058cm,62.667192527680044cm,20.10065766907541cm,41.282864079033345cm,45.05653567486923cm,28.446556627882764cm,56.83959103829397cm,32.06172000398116cm,52.792813152786636cm,52.186243792184285cm,50.00856311742847cm,56.77862120569819cm,49.45877605746108cm,36.0319145164636cm,42.897772244185454cm,52.32912884827654cm,53.222449529138935cm,50.681551641610945cm,53.43024382293509cm,27.22338886911407cm,17.31295094867978cm,27.98470287282458cm,34.46169631886025cm,50.715718839433976cm,54.070814922125635cm,41.13594094573773cm,29.781914265778983cm,53.18733813908903cm,34.72929579260445cm,47.5681455411679cm,35.285271868924326cm,19.177012729144636cm,30.859240901260463cm,18.401567288316535cm,32.065013028005914cm,16.412284548107003cm,31.56833557768407cm,17.299338042065862cm,19.3174023011029cm,57.24926413499327cm,18.403608243364236cm,39.2071760954409cm,56.58503808788479cm,28.863576833685784cm,35.891632269566344cm,22.723717359937865cm,26.753879333263995cm,51.40130882354043cm,31.376432038611377cm,53.931562059252215cm,31.57845561056584cm,50.59540117602681cm,39.005922481335595cm,35.285271868924326cm,29.027735409060924cm,56.20253637295113cm,28.671733970930973cm,60.33221938830246cm,36.70146862764738cm,56.587487732899206cm,50.03862865990879cm,41.676187763826675cm,54.29913788634786cm,54.38102885425732cm,52.49965564352887cm,54.543667692349146cm,36.78281460507723cm,22.731641941154688cm,60.069423733486126cm,28.08312586273449cm,30.83310272515666cm,48.736650948204726cm
28.125118565700554cm,32.811687327163746cm,22.869129373588812cm,9.217933990578455cm,56.51952829426113cm,27.577596206008753cm,11.073092663975165cm,20.498958293044385cm,57.87344729549067cm,53.88684519607621cm,6.899167278230225cm,14.218716528744508cm,25.554997284031437cm,5.809126916703387cm,41.282864079033345cm,45.05653567486923cm,11.95559945058933cm,56.83959103829397cm,11.260344677421536cm,52.792813152786636cm,52.186243792184285cm,50.00856311742847cm,56.77862120569819cm,16.67115875122877cm,25.648642659886686cm,16.886193309888778cm,52.32912884827654cm,53.222449529138935cm,50.681551641610945cm,53.43024382293509cm,16.957917564301237cm,4.3642913280527145cm,6.911733962237057cm,6.010637175648876cm,16.186087162177994cm,6.211661730766543cm,9.497063917218016cm,6.236781870688906cm,53.18733813908903cm,6.3314674117507685cm,47.5681455411679cm,13.062272444896543cm,4.0112251013992495cm,3.1284084719331515cm,2.3432919348430583cm,4.314683442374394cm,3.1317709019012057cm,3.162519607326933cm,1.8693781027964473cm,3.3359542115577656cm,57.24926413499327cm,4.347421676346301cm,18.230259803570327cm,28.292519043942395cm,26.85798264825928cm,18.650838900342624cm,6.520673606791132cm,4.773540059486165cm,18.284863414284924cm,8.652070016546675cm,9.880234959395175cm,8.48841830086899cm,11.598924859331236cm,16.746067507583525cm,13.062272444896543cm,13.058771750969436cm,19.60297947023875cm,5.37626972874066cm,20.774661610620687cm,9.167954376118841cm,33.91093198962271cm,50.03862865990879cm,26.872038080719324cm,5.0427130501296125cm,12.197020417334414cm,52.49965564352887cm,7.913215843331367cm,7.256448474444969cm,3.945597327886258cm,25.048113282186456cm,1.6684579301781104cm,17.84706797485336cm,27.412354095055225cm
1.3020833333333334e-05,1.3020833333333334e-05,1.3020833333333334e-05,4.557291666666667e-05,6.510416666666667e-06,1.3020833333333334e-05,3.255208333333333e-05,1.953125e-05,6.510416666666667e-06,6.510416666666667e-06,5.208333333333334e-05,3.90625e-05,2.604166666666667e-05,5.859375e-05,6.510416666666667e-06,6.510416666666667e-06,1.953125e-05,6.510416666666667e-06,3.90625e-05,6.510416666666667e-06,6.510416666666667e-06,6.510416666666667e-06,6.510416666666667e-06,1.953125e-05,1.3020833333333334e-05,1.953125e-05,6.510416666666667e-06,6.510416666666667e-06,6.510416666666667e-06,6.510416666666667e-06,1.953125e-05,0.00010416666666666667,5.859375e-05,7.8125e-05,2.604166666666667e-05,0.00020833333333333335,5.208333333333334e-05,5.859375e-05,6.510416666666667e-06,8.463541666666667e-05,6.510416666666667e-06,2.604166666666667e-05,6.510416666666667e-05,0.00022786458333333334,0.00021484375,0.00011067708333333333,0.00017578125,0.00013671875,0.00012369791666666668,0.00012369791666666668,6.510416666666667e-06,8.463541666666667e-05,1.953125e-05,1.3020833333333334e-05,1.3020833333333334e-05,1.3020833333333334e-05,5.859375e-05,7.161458333333333e-05,1.953125e-05,5.859375e-05,4.557291666666667e-05,4.557291666666667e-05,3.90625e-05,2.604166666666667e-05,2.604166666666667e-05,2.604166666666667e-05,1.953125e-05,0.00014322916666666667,1.953125e-05,3.255208333333333e-05,1.3020833333333334e-05,6.510416666666667e-06,1.3020833333333334e-05,8.463541666666667e-05,4.557291666666667e-05,6.510416666666667e-06,4.557291666666667e-05,6.510416666666667e-05,5.859375e-05,1.953125e-05,0.0004752604166666667,1.953125e-05,1.3020833333333334e-05
69.45691906005223,68.0199999999999,30.37665782493376,134.58156028368805,165.62500000000003,120.98701298701299,78.06994818652834,125.52547770700635,114.44488188976379,73.27147766323029,73.78281622911685,112.98318240620942,95.62079062957521,93.75000000000007,82.9285714285715,85.82456140350868,1.5421303656597727,35.13333333333335,39.968713789107845,28.587136929460723,46.391764705882366,79.08260869565214,67.39830508474572,64.60490463215254,44.319767441860414,102.60411899313505,82.27083333333327,126.43661971830984,97.84139264990341,133.743661971831,87.91098484848445,33.17121046892042,42.88235294117647,81.4725884802221,116.70239234449761,96.49315714959876,27.884201077199332,55.0000000000001,57.342205323193944,77.50912408759125,120.2642857142857,30.736969696969734,44.311728395061685,31.887622149837107,26.47885402455662,56.957035445757384,37.019021739130466,65.85436893203895,18.82142857142857,60.32474226804131,154.8235294117647,91.64107883817447,19.333333333333304,194.54918032786887,118.92349726775957,34.99528301886794,1.9329073482428072,38.86956521739123,114.01257861635223,63.85251798561175,23.930303030302994,60.137711864406775,27.088657105606284,30.94967532467533,30.736969696969734,55.27281191806352,186.75909090909087,114.89643036701999,15.10681818181817,113.94444444444441,63.330300272975414,2.9251592356687985,61.56213017751486,25.540229885057457,102.10500000000003,26.466965285554334,107.26905417814524,28.229268292682963,17.519855595667938,44.042735042735124,30.008301886792477,29.398963730569868,22.788571428571416
0.9461036649774385,1.1602163242702501,1.0274832260673523,0.9801121187295387,0.9239303348395475,0.9272068249792429,0.9160297250211292,1.0172395011325899,0.9426558379474403,0.9275924879391751,0.9022321591702012,1.1344764486735284,1.1073759780135908,0.8911385495621761,0.8238726306951418,0.8644804758733429,0.8056665592144877,0.9201888872617495,1.0903984042949544,0.9509650217447131,1.04167170824024,1.0252784582876266,1.003632905734403,1.0125543176688203,0.8754724495906737,0.8991801686873865,0.9410321076191556,0.9434789236457178,0.9708029917107327,0.9473539475099177,1.0465350541959038,1.0197740598543998,0.9114050427227942,1.1757737162537367,1.3084366018662061,1.3343163008774457,1.1253862599283413,0.9036516806834674,0.9017986364755081,1.0077168085746007,0.9621171381284862,0.972873449422178,0.8282736055912422,1.0426546698455597,1.0326143281531555,1.0815257903136137,1.0153803679230726,0.985514605111991,0.7335198605543505,0.9853755358163234,0.9335095778948036,0.9328048422182484,0.8556323092559228,0.9560946856751451,0.9684924727098873,0.7846363207240645,0.9097641871165801,0.8322475344817158,0.8366662169458977,1.029967495080184,0.9742948464342778,0.9260291860510026,0.9630224336177124,0.9857178389929354,0.972873449422178,1.0588787377935922,0.9974873595422111,1.2051671245051965,0.9519436747174567,0.8977675988205984,1.0987230386850568,0.942124949773401,0.9703709967696023,1.016893419871368,1.083853671014763,1.0247670692461874,1.0706867854033928,0.9828750517412754,0.9657331095889359,0.9946989077079348,1.121239288237877,0.940376738582039,0.9325264903918145
2.700132257153429cm,8.008779332274345cm,12.478945383756068cm,1.8056755507372693cm,1.7928367167591484cm,1.1740174299522799cm,1.397034203526403cm,4.654475139134031cm,2.799517610658332cm,2.4082153690293957cm,0.9597909989033051cm,2.2695941518948035cm,2.247243663385813cm,0.5861453875168173cm,0.8587160798753115cm,3.519369145010684cm,0.9444326466628987cm,5.588650484413112cm,2.1274521636121206cm,5.781154339913588cm,20.316824476739136cm,22.20466885448012cm,13.612470414153968cm,5.377710276561085cm,2.9954108506592263cm,1.6295575235435267cm,2.998967594765779cm,3.8348962920193417cm,6.2659557897081495cm,3.9778816478587427cm,8.695975442523723cm,1.0429766519254784cm,0.641189217275977cm,2.167868764087683cm,6.449575335149404cm,0.9856275815614114cm,2.514864152284245cm,0.6671959703538983cm,1.3485952126846998cm,0.7210534784531681cm,2.8889656907785675cm,4.465994216046639cm,0.37648551004153347cm,0.3372131285790595cm,0.2957632271356455cm,1.2295325541691868cm,0.5226561945666488cm,0.5327476047094281cm,0.18301890544859775cm,0.6243670032113395cm,2.9040490117861526cm,0.8307597035319718cm,0.5780693601431927cm,1.032785048418071cm,2.3460735779711093cm,1.1570077836831498cm,1.113628742298247cm,0.44899283930638356cm,1.2922913057733154cm,1.4916564466450986cm,1.8673446930779545cm,1.3057446756008886cm,1.2490108145101808cm,2.515438254831197cm,4.465994216046639cm,5.884054903552715cm,1.3226807658917439cm,1.4085142857170156cm,1.1455483588836801cm,1.1343205644784238cm,8.150384240823755cm,4.355274350622259cm,2.64392190079238cm,1.3043340157816525cm,3.1393320699952767cm,19.98304177126498cm,4.465093848304681cm,1.192349198277246cm,2.208970399846656cm,1.9493466287689392cm,0.21979936632674202cm,2.8155196662278117cm,4.549804974255328cm
6.0cm,18.5cm,29.700000000000003cm,12.100000000000001cm,2.2cm,2.9000000000000004cm,6.0cm,12.600000000000001cm,3.3000000000000003cm,4.0cm,6.0cm,11.600000000000001cm,12.200000000000001cm,1.4000000000000001cm,1.6cm,3.8000000000000003cm,25.1cm,12.0cm,16.7cm,13.0cm,27.6cm,23.700000000000003cm,19.400000000000002cm,23.200000000000003cm,4.5cm,4.6000000000000005cm,4.800000000000001cm,4.9cm,10.4cm,4.6000000000000005cm,28.5cm,13.5cm,3.2cm,21.6cm,24.3cm,11.600000000000001cm,24.900000000000002cm,5.6000000000000005cm,3.3000000000000003cm,3.6cm,3.7cm,25.900000000000002cm,5.1000000000000005cm,3.9000000000000004cm,3.5cm,13.700000000000001cm,9.200000000000001cm,7.300000000000001cm,2.8000000000000003cm,5.2cm,3.3000000000000003cm,5.300000000000001cm,4.2cm,2.8000000000000003cm,3.0cm,4.5cm,13.600000000000001cm,3.8000000000000003cm,3.8000000000000003cm,25.3cm,14.200000000000001cm,9.600000000000001cm,15.8cm,8.0cm,25.900000000000002cm,32.0cm,3.8000000000000003cm,17.6cm,15.3cm,3.9000000000000004cm,25.3cm,31.5cm,10.200000000000001cm,22.1cm,25.5cm,31.5cm,29.8cm,11.100000000000001cm,25.400000000000002cm,9.600000000000001cm,10.9cm,6.800000000000001cm,15.5cm
