001.jpg,002.jpg,003.jpg,004.jpg,005.jpg,006.jpg,007.jpg
77.5,75.3,73.9,80.6,81.5,72.7,83.0
20.3cm,47.2cm,25.9cm,25.6cm,21.5cm,20.3cm,21.6cm
17.2cm^2,46.6cm^2,18.5cm^2,19.3cm^2,19.7cm^2,14.3cm^2,15.2cm^2
37.8cm,47.0cm,28.7cm,58.1cm,58.3cm,20.1cm,57.0cm
0.2cm,0.1cm,0.2cm,0.1cm,0.2cm,0.2cm,0.2cm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.2,71.4,53.3,123.5,128.7,94.8,91.2
0.9,1.1,1.0,1.0,0.9,0.9,0.9
0.0cm,0.0cm,0.0cm,0.0cm,0.0cm,0.0cm,0.0cm
6.3cm,18.4cm,11.6cm,12.6cm,2.4cm,3.0cm,9.6cm
0.1cm,0.1cm,0.2cm,0.1cm,0.1cm,0.1cm,0.1cm
0.1,0.1,0.1,0.1,0.1,0.1,0.1
-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4
287.6cm^3,558.4cm^3,296.5cm^3,289.6cm^3,351.8cm^3,231.7cm^3,239.2cm^3
118.3%,101.2%,140.4%,132.2%,108.8%,141.9%,142.2%
22472.5%,39127.3%,17738.3%,38707.1%,32603.0%,12308.0%,36080.1%
965.6%,1024.3%,733.8%,1283.9%,1239.6%,683.9%,1330.1%
-2.0,-2.2,-1.8,-2.7,-2.7,-2.5,-1.9
33.2%,25.7%,20.8%,41.9%,46.9%,18.4%,48.9%
965.6%,1024.3%,733.8%,1283.9%,1239.6%,683.9%,1330.1%
586.5,1341.5,801.8,778.2,565.9,572.1,636.7
